ano,mes,sigla_uf,densidade,Latitude,Longitude
2023,4,SC,105.83148840524,-27.33,-49.44
2023,4,RS,103.74219728384,-30.11,-51.22
2023,4,RR,96.853700202576,1.89,-61.22
2023,4,RO,101.73508680494,-11.22,-62.80
2023,4,RN,92.732056567242,-5.22,-36.52
2023,4,RJ,114.9584613035,-22.84,-43.15
2023,4,PR,102.92742210052,-24.89,-51.55
2023,4,PI,88.648935519393,-8.28,-43.68
2023,4,PE,100.43386318737,-8.28,-35.07
2023,4,PB,90.4749031009,-7.06,-35.55
2023,4,PA,88.117640274949,-5.53,-52.29
2023,4,MT,107.5666017913,-12.64,-55.42
2023,4,MS,104.54057387456,-20.51,-54.54
2023,4,MG,102.88046702818,-18.10,-44.38
2023,4,MA,77.55157375067,-2.55,-44.30
2023,4,GO,106.28375156692,-16.64,-49.31
2023,4,ES,107.16374078319,-19.19,-40.34
2023,4,DF,120.34480530821,-15.83,-47.86
2023,4,CE,96.71506768666,-3.71,-38.54
2023,4,BA,93.730448104353,-12.96,-38.51
2023,4,AP,101.26706184527,1.41,-51.77
2023,4,AM,93.211694481976,-3.07,-61.66
2023,4,AL,89.952681221585,-9.71,-35.73
2023,4,AC,97.461043389002,-8.77,-70.55
2023,3,TO,98.819881981582,-10.25,-48.25
2023,3,SP,116.13085087662,-23.55,-46.64
2023,3,SE,94.389194580998,-10.90,-37.07
2023,3,SC,106.78665018048,-27.33,-49.44
2023,3,RS,103.98728698831,-30.11,-51.22
2023,3,RR,97.504490785051,1.89,-61.22
2023,3,RO,101.96854427786,-11.22,-62.80
2023,3,RN,93.537772157633,-5.22,-36.52
2023,3,RJ,114.34621792586,-22.84,-43.15
2023,3,PR,102.85804470215,-24.89,-51.55
2023,3,PI,89.131653003793,-8.28,-43.68
2023,3,PE,100.87329042172,-8.28,-35.07
2023,3,PB,91.373595890799,-7.06,-35.55
2023,3,PA,88.329871914355,-5.53,-52.29
2023,3,MT,107.522871762,-12.64,-55.42
2023,3,MS,104.32208800377,-20.51,-54.54
2023,3,MG,102.96498544846,-18.10,-44.38
2023,3,MA,78.322375645594,-2.55,-44.30
2023,3,GO,106.73458037075,-16.64,-49.31
2023,3,ES,107.39207082014,-19.19,-40.34
2023,3,DF,119.82177923998,-15.83,-47.86
2023,3,CE,97.811683035158,-3.71,-38.54
2023,3,BA,93.884857810858,-12.96,-38.51
2023,3,AP,101.20012324337,1.41,-51.77
2023,3,AM,93.414578139768,-3.07,-61.66
2023,3,AL,90.401600505961,-9.71,-35.73
2023,3,AC,97.35309496329,-8.77,-70.55
2023,2,TO,98.867782718552,-10.25,-48.25
2023,2,SP,115.77702742783,-23.55,-46.64
2023,2,SE,95.554314482806,-10.90,-37.07
2023,2,SC,106.35616768869,-27.33,-49.44
2023,2,RS,103.71877006455,-30.11,-51.22
2023,2,RR,96.6633946406,1.89,-61.22
2023,2,RO,101.98726641603,-11.22,-62.80
2023,2,RN,96.946075073749,-5.22,-36.52
2023,2,RJ,114.4633983543,-22.84,-43.15
2023,2,PR,102.56731329187,-24.89,-51.55
2023,2,PI,90.412333292549,-8.28,-43.68
2023,2,PE,102.67009120511,-8.28,-35.07
2023,2,PB,93.620095131583,-7.06,-35.55
2023,2,PA,87.390668362713,-5.53,-52.29
2023,2,MT,106.45876135238,-12.64,-55.42
2023,2,MS,103.61537345377,-20.51,-54.54
2023,2,MG,102.1483814131,-18.10,-44.38
2023,2,MA,80.404203477649,-2.55,-44.30
2023,2,GO,106.50888957805,-16.64,-49.31
2023,2,ES,106.32137433135,-19.19,-40.34
2023,2,DF,119.32516360982,-15.83,-47.86
2023,2,CE,99.953387790832,-3.71,-38.54
2023,2,BA,94.64786586304,-12.96,-38.51
2023,2,AP,100.9270519204,1.41,-51.77
2023,2,AM,92.207577689395,-3.07,-61.66
2023,2,AL,93.202006323879,-9.71,-35.73
2023,2,AC,96.993467674507,-8.77,-70.55
2023,1,TO,99.322244268617,-10.25,-48.25
2023,1,SP,115.92206420019,-23.55,-46.64
2023,1,SE,98.149041573021,-10.90,-37.07
2023,1,SC,105.95981313606,-27.33,-49.44
2023,1,RS,104.1389619196,-30.11,-51.22
2023,1,RR,96.104371659414,1.89,-61.22
2023,1,RO,102.25804166435,-11.22,-62.80
2023,1,RN,97.395111321867,-5.22,-36.52
2023,1,RJ,114.18543458529,-22.84,-43.15
2023,1,PR,102.68388025456,-24.89,-51.55
2023,1,PI,91.221338553775,-8.28,-43.68
2023,1,PE,102.71962667894,-8.28,-35.07
2023,1,PB,93.690896579314,-7.06,-35.55
2023,1,PA,88.187340964883,-5.53,-52.29
2023,1,MT,106.40929175664,-12.64,-55.42
2023,1,MS,103.71284506838,-20.51,-54.54
2023,1,MG,102.64582726147,-18.10,-44.38
2023,1,MA,82.2558761781,-2.55,-44.30
2023,1,GO,106.98438094417,-16.64,-49.31
2023,1,ES,106.24937719872,-19.19,-40.34
2023,1,DF,119.60904032136,-15.83,-47.86
2023,1,CE,102.2699395156,-3.71,-38.54
2023,1,BA,97.896199581549,-12.96,-38.51
2023,1,AP,101.5465789058,1.41,-51.77
2023,1,AM,92.703622650605,-3.07,-61.66
2023,1,AL,93.783427140624,-9.71,-35.73
2023,1,AC,96.422521704139,-8.77,-70.55
2022,9,TO,105.12134302022,-10.25,-48.25
2022,9,SP,121.64947912853,-23.55,-46.64
2022,9,SE,103.1806967728,-10.90,-37.07
2022,9,SC,105.7765446572,-27.33,-49.44
2022,9,RS,107.72606531351,-30.11,-51.22
2022,9,RR,97.660705670097,1.89,-61.22
2022,9,RO,106.81624980392,-11.22,-62.80
2022,9,RN,98.702067522891,-5.22,-36.52
2022,9,RJ,119.87119643036,-22.84,-43.15
2022,9,PR,104.48999965744,-24.89,-51.55
2022,9,PI,92.890829560749,-8.28,-43.68
2022,9,PE,103.75824878245,-8.28,-35.07
2022,9,PB,102.56246391051,-7.06,-35.55
